title,objectid,display_template,image_small,creator,subject,isbn_id,Language,publisher,location,year_published,Edition,tags,bobcat_permalink,worldcat_permalink
"The Kingdom of Quito, 1690-1830: The state and regional development",as001,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/SCtY6HOCHdYT2KdA6kgdNA/o1C4TuB8EDWQ7O6Ty4-V7jW1-NJdU5OeQbUFToCyG-hYtaWaqTTDSB9GqLDYOh4yd5Zxv1mMIzUhs_rySM7i7w/ZwjXQFJyT-9xRLdduyNKdXCmoLePZzP0u6LckwbzVwI,"Andrien, Kenneth J.",Andean Studies,9780521481250,eng,Cambridge University Press,United States,1995,1,History -- Ecuador,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004958870,https://worldcat.org/en/title/1150088725
Bolivia: Refounding the Nation,as002,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/W-wfreQVjH6l_YGNjgztEQ/hhbgOyBeZkU1S9Rhdt4gLEyNHNltnId5sVWYXRTEUkvQZMfd9UE_xwmji0KQTGi8tWUziMJ-JwnlAxLo9zNJpQ/IYrnDtk-IkJaIg2sezZV_hDlo7Kx2M1WF7X9ezbVLu0,"Artaraz, Kepa
",Andean Studies,978-0-7453-3089-1,eng,Pluto Press,UK,2012,1,Government Relations,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph005781794,https://worldcat.org/en/title/804845771
Our House in the Clouds: Building a Second Life in the Andes of Ecuador,as003,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/1oKP67_-QQgTAjHZ_6QnQA/n2uOKgxFSxAT4waNZvsvV3TRMkgg7FisECQiZ_K3BaOhhPnGX8FQ_y8C4SA0S6n-A4XhurlkK_5zIBQD2OaHyQ/GOANUKa0AQ21UaHv3IWfKLA2WhrvtYRTKZms3UiNDJQ,"Blankenship, Judy",Andean Studies,978-0-292-73903-1,eng,University of Texas Press,United States,2013,1,History -- Ecuador,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004109152,https://worldcat.org/en/title/846990269
"Esquinas, Rincones, Pasadizos: Bosquejos sobre juventud peruana",as004,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/CBmNGjWfTfiA5--v-yduxQ/mTHprWNkQ6ree3cXK-NPI7b3Bt46QFiFEdxbBHBUc16xuuOSfm8DJhfk53FADG-738bIBVVqdbz876bLk6TfLg/0V8bbABernqEQ2k_Ho8ETdUEcDdg5Cwjtvok5189L5Q,"Cánepa, María Angela",Andean Studies,,spa,Instituto Bartolomé de Las Casas ~Rimac ,Peru,1993,1,Youth Studies,,https://worldcat.org/en/title/30781995
Bi-Centenarios Naturales: Historias de quinas y vicuñas ,as005,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/Gp_IF8BCj1JmwsZNw-v5Kw/byWiIgm6BUFjV86vz_Alr3Jg2TiKxYG1DyllvguAc5pmNFYujOa3CziCGICUG1dR3AigtxD7kZcQTv5Bz_TRWw/XNsCnhnndyb-t8t9OGkL93MMFzJSIf090w63lvRnAKM,"Epiquién, Mirbel",Andean Studies,9786125036490,spa,"CBC, Centro Bartolomé de las Casas",Peru,2021,1,Ecological / Agricultural,,
La Ley Del Ayllu ,as006,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/6Jn1ApHMBaehsmG-82BI9g/pi_k1aU7xVC6WIJdQ0ZcsH1lEV-IxsdAqGd7PsCz7C5KeNYxiUlMgoYpdYf_fE52lJbdvQMOYd2_GUtdssu4OA/WQ4eR_Jt86ergrIYebwWiDqNhrkwQjPOqPalq2LQ-aE,"Fernández O., Marcelo
",Andean Studies,99905-0-049-5,"que,spa",Fundacion Pieb ,Bolivia,2000,9,Indigenous Rights,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000758225,https://www.worldcat.org/title/46483149
Descentralización andina,as007,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/ZS0_2KzGUrldKNUYyBzS3A/AjXNRRzOXFVyuFai5CU58zQh3XL4x3YMKRHHSAXTZwoLm9ZP--FlxKoorbXwTDzPN3ZBwmB6-6vlldTCk6T46w/oM6V-D2TYQ3oyaMsqxen6Mx6OjVmF4j_UuiHOwcaSVw,"Franky, Pablo
",Andean Studies,958-683-323-2,spa,Pontificia Universidad Javeriana,Colombia,2000,19,Political Science,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000730560,https://www.worldcat.org/title/47865583
Democracia Estado Nación ,as008,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/qb5yEefjGkMyANDmvnx_ZQ/iw9LxiMfeyGV3icnbc7rLf0z-r4NCxp1xP6dHclaa3RCrq3R-TIefapROZNT2ytH_OTCNKiUJrBUMBeb0adOEQ/LV66fHzHdFBy3ocRnX5aAm9pZDQ5O4Nzwsn68uTFR4E,"García Linera, Álvaro
",Andean Studies,9789807364355,spa,Vicepresidencia del Estado,Bolivia,2014,1,Political Science -- Bolivia,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004321059,https://worldcat.org/en/title/911184088
Elegía Apu Inka Atawallpaman: Primer Documento De La Resistencia Inka,as009,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/s_kifJSEjdrcPEQUyym3vQ/uygy_5Ey4_XX6eBotv_kmxSMXW4xqNi593jCpcM5XVL58P0PFzUV4U28stE0E7PRoblmB6CHZm1yuibgcNQKAw/PX8xA4pEGNbdSCCSVLGMPx43IHr0nnzbCiIjdTl91pE,"Gonzales, Odi",Andean Studies,978-612-46607-1-9,"spa,que",Pakarina Ediciones,Peru,2014,1a,Government Relations,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004017536,https://worldcat.org/en/title/882496521
Rhythms of the Pachakuti: Indigenous Uprising and State Power in Bolivia,as010,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/zcIr-ZP1dXDDkik15_M8SA/DmnYN82JEDZeVoee7ftBAtqkLf-V1Mi150lXkVhX3falWKMMjBLFPDZLhAVLnAmOKu4FzxINyagNylwzjPQrrA/H98fpvWVDHqjx48KDesLATHRbz3RwFC62eOehJWbaI0,"Gutiérrez Aguilar, Raquel",Andean Studies,978-0-8223-5604-2,eng,Duke University Press ,United States,2014,1,Government Relations,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph004491726,https://worldcat.org/en/title/869460433
